Name,Occupation,POY,Cover #,Year,Order
Joseph G. Cannon,Politics & Gov,N,1,1923,1
Warren G. Harding,Politics & Gov,N,2,1923,2
Hugo Stinnes,Politics & Gov,N,3,1923,3
Mustafa Kemal,Politics & Gov,N,4,1923,4
Stephen Sanford,Politics & Gov,N,5,1923,5
Joseph Conrad,Author,N,6,1923,6
Winston Churchill,Politics & Gov,N,7,1923,7
Samuel M. Vauclain,Politics & Gov,N,8,1923,8
King Faud I,Royalty,N,9,1923,9
James M. Beck,Politics & Gov,N,10,1923,10
John Barton Payne,Science,N,11,1923,11
Rene Viviani,Politics & Gov,N,12,1923,12
Franklin D. Roosevelt,Politics & Gov,N,13,1923,13
John L. Lewis,Business,N,14,1923,14
Herbert L. Pratt,Business,N,15,1923,15
Burton K. Wheeler,Politics & Gov,N,16,1923,16
Edward M. House,Politics & Gov,N,17,1923,17
Andrew W. Mellon,Business,N,18,1923,18
Mason M. Patrick,Military,N,19,1923,19
James Couzens,Politics & Gov,N,20,1923,20
Roy Asa Haynes,Society,N,21,1923,21
Eleanora Duse,Theater,N,22,1923,22
Benito Mussolini,Military,N,23,1923,23
Samuel George Blythe,Author,N,24,1923,24
F. E. Smith - 1st Earl of Birkenhead,Politics & Gov,N,25,1923,25
Frederick G. Banting,Science,N,26,1923,26
David Lloyd George,Politics & Gov,N,27,1923,27
Jack Dempsey,Sports,N,28,1923,28
Israel Zangwill,Author,N,29,1923,29
J.P. Morgan,Business,N,30,1923,30
Samuel Gompers,Business,N,31,1923,31
Herbert H. Asquith,Politics & Gov,N,32,1923,32
Frank O. Lowden,Politics & Gov,N,33,1923,33
John W. Weeks,Politics & Gov,N,34,1923,34
Roy Chapman Andrews,Science,N,35,1923,35
Giulio Gatti-Casazza,Theater,N,36,1923,36
Woodrow Wilson,Politics & Gov,N,37,1923,37
Erich Ludendorff,Military,N,38,1923,38
Hugh S. Gibson,Politics & Gov,N,39,1923,39
Robert M. La Follette Sr,Politics & Gov,N,40,1923,40
Albert B. Cummins,Politics & Gov,N,41,1923,41
Anton Lang,Religion,N,42,1923,42
George Bernard Shaw,Theater,N,43,1923,43
Anthony H. G. Fokker,Military,N,44,1923,44
William G. McAdoo,Politics & Gov,N,45,1924,45
Bishop William Lawrence,Religion,N,46,1924,46
Henry Cabot Lodge,Politics & Gov,N,47,1924,47
Herbert B. Swope,Entertainment,N,48,1924,48
Edward Eberle,Military,N,49,1924,49
John Hessin Clarke,Politics & Gov,N,50,1924,50
Eleutherios Venizelos,Military,N,51,1924,51
Bernard Baruch,Politics & Gov,N,52,1924,52
Reginald McKenna,Politics & Gov,N,53,1924,53
Warren Stanford Stone,Business,N,54,1924,54
Eugene O'Neill,Theater,N,55,1924,55
Raymond Poincare,Politics & Gov,N,56,1924,56
George Eastman,Business,N,57,1924,57
King George V,Royalty,N,58,1924,58
George Fisher Baker,Business,N,59,1924,59
Lou Henry Hoover,Politics & Gov,N,60,1924,60
Prince Gelasio Caetani,Royalty,N,61,1924,61
William E. Borah,Politics & Gov,N,62,1924,62
Homer Saint-Gaudens,Arts,N,63,1924,63
Henry Seidel Canby,Journalism,N,64,1924,64
Sir James Craig,Politics & Gov,N,65,1924,65
Alfred von Tirpitz,Military,N,66,1924,66
Carter Glass,Politics & Gov,N,67,1924,67
Pope Pius XI,Religion,N,68,1924,68
Hiram W. Evans,Society,N,69,1924,69
William Howard Taft,Politics & Gov,N,70,1924,70
James Stillman Rockefeller,Sports,N,71,1924,71
Alexey Rykov,Politics & Gov,N,72,1924,72
Gaston Doumergue,Politics & Gov,N,73,1924,73
William Sproule,Business,N,74,1924,74
Queen Marie,Royalty,N,75,1924,75
Gen. John J. Pershing,Military,N,76,1924,76
Ramsay MacDonald,Politics & Gov,N,77,1924,77
Edith Cummings,Sports,N,78,1924,78
Adolph S. Ochs,Business,N,79,1924,79
Wu Pei-fu,Military,N,80,1924,80
Seymour Parker Gilbert,Politics & Gov,N,81,1924,81
Leo H. Baekeland,Business,N,82,1924,82
Hiram Johnson,Politics & Gov,N,83,1924,83
William Allen White,Science,N,84,1924,84
Glenn H. Curtiss,Business,N,85,1924,85
Sir Patrick Hastings,Politics & Gov,N,86,1924,86
Sigmund Freud,Science,N,87,1924,87
Sir Thomas Lipton,Business,N,88,1924,88
Ethel Barrymore,Theater,N,89,1924,89
Frederick Huntington Gillett,Politics & Gov,N,90,1924,90
William R. Inge,Author,N,91,1924,91
Chauncey M. Depew,Politics & Gov,N,92,1924,92
Gen. Plutarco Calles,Military,N,93,1924,93
Dwight F. Davis,Sports,N,94,1924,94
King Alfonso XIII,Royalty,N,95,1924,95
Charles E. Hughes,Politics & Gov,N,96,1924,96
Juan Belmonte,Sports,N,97,1925,97
King George VI,Royalty,N,98,1925,98
John D. Rockefeller Jr,Science,N,99,1925,99
Charles B. Warren,Politics & Gov,N,100,1925,100
Fritz Kreisler,Music,N,101,1925,101
William Mackenzie King,Politics & Gov,N,102,1925,102
Harry S. New,Politics & Gov,N,103,1925,103
Owen D. Young,Business,N,104,1925,104
Amy Lowell,Author,N,105,1925,105
Nicholas Longworth,Politics & Gov,N,106,1925,106
Marshal Ferdinand Foch,Military,N,107,1925,107
Eduard Benes,Politics & Gov,N,108,1925,108
George Harold Sisler,Sports,N,109,1925,109
John Ringling,Business,N,110,1925,110
Arthur Balfour,Politics & Gov,N,111,1925,111
Walter P. Chrysler,Business,N,112,1925,112
James B. Hertzog,Military,N,113,1925,113
Thomas J. Walsh,Politics & Gov,N,114,1925,114
Winston Churchill,Politics & Gov,N,115,1925,115
Leon Trotsky,Politics & Gov,N,116,1925,116
Thomas Edison,Science,N,117,1925,117
Richard Swann Lull,Education,N,118,1925,118
Miguel Primo de Rivera,Military,N,119,1925,119
Victor Emmanuel III,Royalty,N,120,1925,120
Charles Horace Mayo,Science,N,121,1925,121
Theodore E. Burton,Author,N,122,1925,122
Charlie Chaplin,Entertainment,N,123,1925,123
Alfred E. Smith,Politics & Gov,N,124,1925,124
